run	ms
1	517
2	448
3	400
4	393
5	383
6	388
7	365
8	392
9	404
10	406
11	388
12	383
13	395
14	383
15	366
16	415
17	455
18	395
19	360
20	391
21	415
22	821
23	428
24	393
25	405
26	396
27	419
28	365
29	357
30	326
31	371
32	330
33	321
34	363
35	365
36	308
37	360
38	323
39	334
40	339
41	323
42	328
43	334
44	328
45	322
46	325
47	282
48	292
49	345
50	462
51	483
52	507
53	473
54	1010
55	573
56	540
57	592
58	418
59	924
60	340
61	325
62	312
63	305
64	334
65	305
66	312
67	356
68	300
69	329
70	318
71	323
72	318
73	304
74	305
75	294
76	300
77	446
78	285
79	428
80	376
81	303
82	330
83	340
84	460
85	441
86	432
87	309
88	292
89	291
90	310
91	296
92	263
93	308
94	346
95	333
96	294
97	298
98	321
99	466
100	346
101	336
102	507
103	287
104	327
105	312
106	291
107	288
108	293
109	259
110	298
111	502
112	253
113	274
114	323
115	266
116	282
117	278
118	331
119	298
120	277
121	339
122	274
123	309
124	266
125	290
126	295
127	354
128	300
129	280
130	280
131	291
132	299
133	312
134	283
135	294
136	287
137	303
138	282
139	332
140	293
141	269
142	290
143	274
144	334
145	268
146	261
147	263
148	297
149	247
150	242
151	255
152	283
153	317
154	275
155	312
156	281
157	284
158	314
159	296
160	254
161	305
162	285
163	299
164	290
165	267
166	265
167	270
168	301
169	256
170	276
171	250
172	282
173	316
174	269
175	307
176	319
177	275
178	343
179	313
180	292
181	277
182	268
183	260
184	317
185	292
186	300
187	285
188	300
189	299
190	256
191	274
192	292
193	293
194	304
195	337
196	330
197	305
198	297
199	297
200	329
201	374
202	347
203	372
204	358
205	602
206	382
207	363
208	290
209	296
210	275
211	294
212	312
213	294
214	362
215	418
216	419
217	425
218	698
219	570
220	358
221	338
222	304
223	352
224	312
225	344
226	313
227	276
228	312
229	374
230	321
231	323
232	321
233	382
234	293
235	314
236	379
237	317
238	326
239	330
240	296
241	299
242	301
243	302
244	302
245	315
246	335
247	447
248	369
249	339
250	310
251	280
252	290
253	326
254	266
255	307
256	298
257	318
258	251
259	267
260	253
261	294
262	271
263	268
264	278
265	346
266	366
267	311
268	306
269	363
270	337
271	364
272	269
273	261
274	280
275	267
276	299
277	267
278	289
279	287
280	259
281	261
282	277
283	305
284	301
285	290
286	280
287	335
288	281
289	314
290	277
291	316
292	607
293	295
294	301
295	303
296	284
297	295
298	292
299	298
300	282
301	301
302	400
303	381
304	287
305	293
306	275
307	240
308	281
309	262
310	309
311	249
312	271
313	265
314	288
315	252
316	264
317	282
318	268
319	1158
320	271
321	299
322	253
323	292
324	259
325	528
326	279
327	273
328	291
329	258
330	447
331	371
332	846
333	367
334	324
335	1212
336	326
337	323
338	287
339	278
340	281
341	296
342	301
343	263
344	260
345	272
346	258
347	263
348	272
349	277
350	273
351	290
352	250
353	275
354	272
355	290
356	282
357	302
358	264
359	283
360	294
361	273
362	283
363	301
364	277
365	260
366	277
367	273
368	282
369	509
370	300
371	267
372	276
373	266
374	283
375	288
376	266
377	268
378	269
379	285
380	273
381	295
382	267
383	271
384	263
385	402
386	298
387	293
388	324
389	364
390	402
391	324
392	318
393	338
394	331
395	283
396	276
397	306
398	331
399	291
400	269
401	260
402	257
403	273
404	434
405	292
406	286
407	281
408	269
409	284
410	288
411	303
412	273
413	245
414	265
415	290
416	274
417	269
418	254
419	278
420	293
421	285
422	308
423	400
424	312
425	285
426	348
427	313
428	305
429	289
430	267
431	395
432	301
433	303
434	279
435	298
436	258
437	267
438	318
