run	ms
1	279
2	260
3	382
4	248
5	414
6	291
7	242
8	241
9	199
10	209
11	180
12	191
13	180
14	189
15	212
16	209
17	214
18	206
19	197
20	186
21	219
22	195
23	225
24	188
25	202
26	205
27	173
28	177
29	158
30	374
31	229
32	170
33	172
34	174
35	192
36	192
37	187
38	161
39	178
40	202
41	219
42	195
43	403
44	171
45	217
46	168
47	201
48	168
49	165
50	212
51	201
52	180
53	170
54	166
55	203
56	187
57	177
58	199
59	195
60	186
61	238
62	201
63	172
64	212
65	186
66	180
67	183
68	183
69	183
70	176
71	167
72	165
73	178
74	195
75	191
76	182
77	175
78	182
79	173
80	189
81	200
82	172
83	164
84	173
85	177
86	187
87	173
88	183
89	191
90	171
91	202
92	225
93	160
94	184
95	157
96	217
97	175
98	202
99	196
100	167
101	203
102	163
103	191
104	182
105	199
106	187
107	172
108	183
109	169
110	148
111	182
112	172
113	143
114	154
115	160
116	172
117	156
118	189
119	167
120	186
121	172
122	159
123	227
124	193
125	193
126	190
127	171
128	184
129	178
130	169
131	182
132	181
133	235
134	169
135	171
136	161
137	170
138	183
139	157
140	176
141	174
142	212
143	172
144	172
145	197
146	307
147	257
148	281
149	409
150	196
151	212
152	235
153	232
154	258
155	306
156	307
157	292
158	223
159	256
160	251
161	286
162	355
163	300
164	198
165	178
166	200
167	186
168	201
169	178
170	232
171	227
172	189
173	179
174	186
175	177
176	194
177	209
178	181
179	177
180	190
181	204
182	195
183	184
184	178
185	165
186	169
187	199
188	167
189	173
190	188
191	177
192	181
193	197
194	184
195	203
196	172
197	193
198	203
199	202
200	290
201	207
202	227
203	196
204	226
205	187
206	194
207	214
208	179
209	203
210	218
211	172
212	207
213	195
214	233
215	199
216	185
217	188
218	212
219	160
220	176
221	157
222	199
223	170
224	159
225	178
226	170
227	206
228	157
229	179
230	150
231	168
232	165
233	211
234	173
235	147
236	164
237	155
238	169
239	165
240	191
241	183
242	196
243	155
244	140
245	152
246	187
247	174
248	149
249	177
250	236
251	196
252	156
253	171
254	178
255	190
256	173
257	194
258	166
259	171
260	162
261	155
262	148
263	186
264	158
265	176
266	158
267	154
268	168
269	174
270	154
271	173
272	202
273	186
274	172
275	192
276	161
277	163
278	163
279	164
280	212
281	158
282	193
283	174
284	173
285	190
286	152
287	149
288	155
289	159
290	152
291	161
292	159
293	203
294	181
295	179
296	182
297	167
298	188
299	199
300	166
301	150
302	151
303	192
304	203
305	169
306	178
307	149
308	153
309	187
310	147
311	163
312	180
313	161
314	154
315	189
316	249
317	165
318	190
319	168
320	164
321	175
322	168
323	164
324	213
325	210
326	218
327	165
328	161
329	164
330	165
331	156
332	170
333	184
334	235
335	182
336	158
337	173
338	181
339	163
340	175
341	178
342	162
343	197
344	178
345	177
346	162
347	163
348	183
349	175
350	165
351	302
352	199
353	397
354	197
355	200
356	185
357	161
358	208
359	168
360	210
361	207
362	189
363	175
364	288
365	181
366	160
367	169
368	175
369	241
370	160
371	177
372	159
373	153
374	175
375	175
376	162
377	163
378	159
379	193
380	194
381	184
382	203
383	308
384	176
385	174
386	148
387	145
388	179
389	198
390	178
391	170
392	184
393	151
394	161
395	167
396	175
397	183
398	163
399	160
400	154
401	152
402	153
403	159
404	152
405	177
406	171
407	201
408	190
409	199
410	192
411	180
412	200
413	176
414	215
415	188
416	164
417	178
418	208
419	166
420	160
421	175
422	173
423	172
