run	ms
1	128
2	106
3	100
4	125
5	93
6	140
7	127
8	138
9	133
10	102
11	126
12	118
13	127
14	141
15	146
16	166
17	135
18	95
19	92
20	94
21	101
22	100
23	96
24	103
25	104
26	98
27	99
28	94
29	122
30	115
31	115
32	95
33	105
34	106
35	116
36	122
37	118
38	118
39	113
40	114
41	89
42	104
43	105
44	97
45	92
46	97
47	118
48	121
49	118
50	115
51	105
52	145
53	123
54	119
55	106
56	113
57	105
58	97
59	138
60	106
61	89
62	90
63	91
64	90
65	110
66	98
67	119
68	106
69	93
70	92
71	134
72	130
73	112
74	103
75	104
76	86
77	94
78	98
79	101
80	87
81	96
82	97
83	95
84	89
85	87
86	89
87	85
88	93
89	94
90	98
91	89
92	89
93	94
94	98
95	89
96	85
97	88
98	86
99	90
100	96
101	85
102	87
103	95
104	90
105	87
106	91
107	110
108	97
109	114
110	92
111	91
112	85
113	87
114	82
115	100
116	94
117	94
118	89
119	87
120	91
121	99
122	115
123	107
124	103
125	114
126	100
127	94
128	85
129	88
130	85
131	96
132	95
133	93
134	91
135	85
136	88
137	86
138	90
139	84
140	94
141	87
142	94
143	86
144	87
145	86
146	82
147	85
148	89
149	90
150	83
151	91
152	91
153	97
154	83
155	95
156	85
157	103
158	97
159	101
160	88
161	85
162	109
163	100
164	88
165	92
166	101
167	93
168	83
169	85
170	86
171	82
172	83
173	79
174	85
175	92
176	97
177	83
178	83
179	81
180	85
181	88
182	87
183	86
184	80
185	81
186	80
187	78
188	80
189	94
190	94
191	88
192	87
193	87
194	87
195	89
196	85
197	82
198	89
199	89
200	82
201	89
202	85
203	79
204	87
205	83
206	91
207	89
208	83
209	85
210	95
211	94
212	100
213	89
214	84
215	87
216	90
217	85
218	81
219	79
220	74
221	80
222	87
223	83
224	80
225	83
226	84
227	93
228	85
229	88
230	89
231	87
232	90
233	85
234	80
235	86
236	87
237	82
238	87
239	83
240	84
241	87
242	93
243	88
244	87
245	86
246	81
247	83
248	82
249	82
250	87
251	88
252	85
253	82
254	81
255	79
256	101
257	103
258	82
259	79
260	83
261	93
262	93
263	84
264	83
265	84
266	85
267	81
268	82
269	84
270	84
271	82
272	84
273	83
274	83
275	79
276	85
277	80
278	94
279	86
280	83
281	86
282	88
283	92
284	84
285	95
286	82
287	84
288	80
289	86
290	84
291	87
292	91
293	79
294	91
295	86
296	81
297	97
298	85
299	79
300	79
301	84
302	83
303	80
304	88
305	81
306	86
307	82
308	89
309	81
310	82
311	84
312	88
313	89
314	88
315	86
316	89
317	100
318	104
319	104
320	89
321	81
322	79
323	84
324	82
325	81
326	82
327	95
328	85
329	86
330	79
331	80
332	80
333	86
334	81
335	81
336	79
337	80
338	81
339	77
340	85
341	99
342	89
343	85
344	97
345	92
346	89
347	87
348	85
349	78
350	81
351	81
352	90
353	91
354	92
355	89
356	83
357	90
358	93
359	89
360	92
361	87
362	94
363	88
364	88
365	77
366	81
367	83
368	83
369	83
370	80
371	79
372	80
373	82
374	79
375	83
376	79
377	78
378	83
379	81
380	95
381	94
382	83
383	85
384	81
385	79
386	81
387	83
388	81
389	81
390	84
391	84
392	85
393	84
394	87
395	83
396	84
397	85
398	79
399	81
400	91
401	89
402	94
403	95
404	95
405	86
406	83
407	83
408	89
409	84
410	86
411	79
412	81
413	89
414	85
415	78
416	85
417	87
418	84
419	83
420	92
421	84
422	100
423	92
424	83
425	101
426	80
427	85
428	94
429	83
430	84
431	90
432	82
433	87
434	83
435	76
436	78
437	88
438	83
439	76
440	76
441	78
442	81
443	77
444	80
445	80
446	80
447	87
448	90
449	87
450	92
451	80
452	81
453	88
454	86
455	83
456	81
457	90
458	89
459	87
460	80
461	91
462	90
463	88
464	89
465	81
466	83
467	86
468	83
469	79
470	79
471	78
472	81
473	80
474	87
475	86
476	87
477	85
478	82
479	81
480	86
481	91
482	109
483	91
484	89
485	86
486	102
487	95
488	89
489	85
490	80
491	81
492	80
493	84
494	90
495	86
496	81
497	80
498	79
499	84
500	84
501	85
502	89
503	93
504	92
505	86
506	97
507	87
508	85
509	85
510	114
511	87
512	87
513	90
514	91
515	84
516	81
517	88
518	87
519	83
520	82
521	82
522	92
523	86
524	84
525	84
526	80
527	86
528	96
529	84
530	94
531	90
532	88
533	98
534	72
535	70
536	78
537	73
538	60
539	60
540	62
541	60
542	56
543	69
544	65
545	57
546	56
547	59
548	64
549	60
550	57
551	60
552	62
553	62
554	63
555	66
556	68
557	68
558	65
559	63
560	66
561	66
562	60
563	57
564	66
565	62
566	60
567	59
568	62
569	61
570	68
571	65
572	68
573	65
574	69
575	65
576	61
577	68
578	65
579	63
580	68
581	64
582	63
583	62
584	71
585	62
586	60
587	71
588	59
589	62
590	65
591	67
592	65
593	70
594	72
595	67
596	64
597	70
598	71
599	68
600	60
601	64
602	63
603	58
604	59
605	59
606	57
607	56
608	61
609	58
610	64
611	65
612	65
613	59
614	59
615	59
616	69
617	71
618	65
619	60
620	68
621	61
622	70
623	60
624	59
625	57
626	58
627	59
628	56
629	58
630	62
631	62
632	62
633	65
634	68
635	85
636	73
637	67
638	59
639	57
640	56
641	60
642	64
643	66
644	61
645	59
646	64
647	74
648	73
649	67
650	65
651	74
652	65
653	64
654	55
655	59
656	57
657	60
658	59
659	55
660	58
661	58
662	59
663	58
664	57
665	63
666	59
667	58
668	62
669	58
670	60
671	62
672	78
673	63
674	70
675	61
676	55
677	59
678	66
679	65
680	63
681	61
682	59
683	59
684	58
685	64
686	75
687	69
688	74
689	55
690	57
691	55
692	63
693	57
694	63
695	58
696	54
697	56
698	58
699	62
700	66
701	58
702	61
703	59
704	57
705	55
706	57
707	55
708	60
709	56
710	62
711	61
712	59
713	58
714	64
715	67
716	59
717	55
718	56
719	56
720	55
721	56
722	56
723	55
724	60
725	62
726	57
727	62
728	65
729	56
730	62
731	60
732	59
733	57
734	60
735	55
736	55
737	67
738	57
739	54
740	57
741	55
742	56
743	59
744	63
745	62
746	62
747	67
748	58
749	59
750	63
751	63
752	58
753	64
754	55
755	54
756	61
757	57
758	57
759	58
760	69
761	57
762	60
763	60
764	56
765	62
766	57
767	56
768	56
769	58
770	61
771	58
772	55
773	54
774	54
775	55
776	55
777	58
778	59
779	57
780	54
781	56
782	57
783	59
784	59
785	55
786	57
787	63
788	77
789	66
790	64
791	57
792	57
793	56
794	59
795	56
796	55
797	56
798	54
799	55
800	66
801	58
802	55
803	56
804	55
805	56
806	64
807	60
808	62
809	61
810	60
811	57
812	61
813	56
814	57
815	62
816	63
817	63
818	61
819	59
820	58
821	59
822	59
823	56
824	56
825	57
826	55
827	56
828	56
829	56
830	56
831	56
832	64
833	68
834	57
835	56
836	62
837	61
838	63
839	78
840	77
841	63
842	59
843	57
844	59
845	60
846	60
847	58
848	55
849	55
850	55
851	58
852	62
853	57
854	57
855	61
856	60
857	57
858	62
859	75
860	61
861	55
862	64
863	64
864	56
865	62
866	63
867	67
868	58
869	69
870	57
871	56
872	59
873	63
874	60
875	55
876	60
877	65
878	70
879	56
880	57
881	63
882	61
883	56
884	55
885	59
886	61
887	55
888	55
889	61
890	100
891	57
892	56
893	56
894	61
895	54
896	58
897	56
898	66
899	68
900	62
901	55
902	55
903	61
904	68
905	65
906	67
907	59
908	56
909	56
910	57
911	62
912	62
913	59
914	58
915	55
916	71
917	67
918	64
919	69
920	65
921	62
922	68
923	67
924	63
925	57
926	56
927	59
928	57
929	63
930	67
931	78
932	62
933	57
934	55
935	55
936	57
937	55
938	56
939	57
940	57
941	67
942	56
943	58
944	62
945	66
946	66
947	58
948	62
949	65
950	65
951	58
952	64
953	67
954	69
955	70
956	69
957	73
958	83
959	69
960	60
961	63
962	61
963	62
964	64
965	61
966	71
967	74
968	65
969	70
970	76
971	59
972	58
973	55
974	61
975	61
976	59
977	56
978	56
979	55
980	55
981	55
982	60
983	68
984	64
985	66
986	58
987	55
988	62
989	60
990	66
991	60
992	77
993	59
994	62
995	62
996	59
997	57
998	56
999	61
1000	62
