run	ms
1	370
2	328
3	292
4	364
5	296
6	315
7	289
8	286
9	269
10	258
11	244
12	234
13	206
14	217
15	305
16	302
17	220
18	238
19	213
20	221
21	244
22	223
23	196
24	215
25	195
26	232
27	244
28	254
29	244
30	202
31	236
32	229
33	220
34	212
35	225
36	306
37	248
38	201
39	234
40	245
41	238
42	267
43	291
44	291
45	315
46	188
47	204
48	255
49	228
50	225
51	216
52	197
53	251
54	221
55	210
56	230
57	197
58	220
59	202
60	232
61	210
62	201
63	207
64	200
65	205
66	204
67	232
68	220
69	167
70	175
71	191
72	202
73	168
74	215
75	179
76	197
77	188
78	199
79	229
80	232
81	261
82	273
83	269
84	237
85	208
86	205
87	203
88	184
89	200
90	191
91	207
92	225
93	269
94	231
95	215
96	187
97	204
98	245
99	221
100	195
101	197
102	238
103	216
104	212
105	232
106	235
107	228
108	192
109	192
110	259
111	232
112	247
113	180
114	158
115	199
116	208
117	170
118	377
119	173
120	215
121	161
122	202
123	260
124	218
125	198
126	191
127	194
128	214
129	205
130	224
131	192
132	271
133	236
134	158
135	170
136	194
137	217
138	207
139	203
140	205
141	195
142	191
143	212
144	178
145	168
146	174
147	186
148	183
149	219
150	182
151	185
152	177
153	226
154	248
155	179
156	186
157	207
158	173
159	215
160	180
161	188
162	168
163	175
164	190
165	178
166	164
167	167
168	167
169	203
170	180
171	196
172	175
173	159
174	175
175	191
176	154
177	173
178	168
179	165
180	184
181	185
182	189
183	152
184	152
185	229
186	218
187	211
188	162
189	190
190	193
191	186
192	199
193	203
194	228
195	232
196	174
197	185
198	196
199	203
200	191
201	202
202	180
203	180
204	196
205	210
206	204
207	202
208	185
209	173
210	194
211	204
212	178
213	191
214	192
215	203
216	177
217	182
218	194
219	179
220	184
221	219
222	291
223	162
224	164
225	179
226	296
227	242
228	194
229	180
230	191
231	217
232	235
233	241
234	234
235	223
236	204
237	187
238	189
239	182
240	195
241	199
242	189
243	194
244	214
245	185
246	194
247	162
248	164
249	176
250	177
251	181
252	231
253	225
254	196
255	184
256	195
257	191
258	182
259	198
260	174
261	213
262	176
263	180
264	156
265	161
266	166
267	158
268	180
269	197
270	174
271	185
272	211
273	174
274	202
275	166
276	178
277	176
278	174
279	232
280	175
281	159
282	170
283	185
284	175
285	168
286	147
287	161
288	160
289	174
290	169
291	160
292	205
293	205
294	176
295	191
296	180
297	208
298	178
299	202
300	182
301	168
302	153
303	165
304	171
305	164
306	174
307	185
308	194
309	208
310	153
311	176
312	173
313	214
314	181
315	173
316	180
317	177
318	175
319	159
320	214
321	177
322	203
323	192
324	164
325	159
326	177
327	218
328	238
329	221
330	193
331	176
332	193
333	209
334	225
335	209
336	272
337	351
338	261
339	211
340	360
341	228
342	273
343	305
344	348
345	286
346	257
347	214
348	255
349	297
350	247
351	228
352	242
353	207
354	213
355	263
356	205
357	217
358	270
359	240
360	232
361	201
362	169
363	187
364	162
365	157
366	178
367	189
368	167
369	163
370	162
371	196
372	169
373	151
374	151
375	169
376	210
377	187
378	180
379	203
380	198
381	240
382	196
383	222
384	173
385	172
386	180
387	193
388	189
389	175
390	175
391	171
392	165
393	191
394	172
395	172
396	183
397	169
398	174
399	161
400	159
401	202
402	225
403	211
404	207
405	241
406	217
407	189
408	207
409	196
410	357
411	184
412	177
413	183
414	172
415	161
416	192
417	186
418	202
419	185
420	165
421	182
422	163
423	169
424	175
425	184
426	190
427	207
428	189
429	153
430	173
431	191
432	193
433	202
434	243
435	170
436	162
437	161
438	180
439	189
440	217
441	171
442	173
443	205
444	190
445	174
446	260
447	197
448	172
449	145
450	162
451	172
452	162
453	163
454	154
455	166
456	151
457	192
458	186
459	211
460	188
461	200
462	243
463	178
464	152
465	163
466	187
