run	ms
1	1007
2	911
3	824
4	687
5	43531
6	1121
7	684
8	958
9	1449
10	966
11	793
12	872
13	821
14	845
15	853
16	718
17	775
18	1298
19	746
20	689
21	702
22	885
23	675
24	764
25	752
26	800
27	766
28	1167
29	775
30	1071
31	692
32	706
33	815
34	701
35	690
36	766
37	649
38	677
39	685
40	677
41	659
42	1239
43	653
44	692
45	544
46	594
47	684
48	890
49	1010
50	514
51	663
52	778
53	534
54	525
55	589
56	558
57	500
58	504
59	610
60	1225
61	501
62	531
63	514
64	677
65	553
66	502
67	864
68	525
69	495
70	511
71	492
72	508
73	630
74	1572
75	885
76	516
77	463
78	767
79	562
80	486
81	603
82	923
83	500
84	472
85	516
86	539
87	466
88	538
89	579
90	488
91	548
92	610
93	697
94	775
95	676
96	711
97	1025
98	776
99	653
100	507
101	526
102	521
103	479
104	461
105	462
106	517
107	596
108	518
109	444
110	540
111	460
112	549
113	635
114	468
115	647
116	590
117	1637
118	589
119	537
120	541
121	564
122	954
123	549
124	520
125	834
126	501
127	485
128	887
129	678
130	656
131	1093
132	1034
133	527
134	606
135	561
136	507
137	490
138	532
139	516
140	487
141	548
142	813
143	563
144	607
145	533
146	533
147	524
148	619
149	563
150	1211
151	742
152	541
153	765
154	475
155	476
156	519
157	487
158	523
159	460
160	497
161	497
162	615
163	468
164	464
165	447
166	439
167	485
168	539
169	547
170	591
171	584
172	537
173	575
174	614
175	530
176	486
177	472
178	461
179	520
180	512
181	515
182	472
183	467
184	501
185	475
186	473
187	536
188	481
189	495
190	472
191	469
192	471
193	455
194	582
195	591
196	657
197	590
198	783
199	600
200	550
201	550
202	754
203	584
204	524
205	491
206	523
207	492
208	516
209	496
210	1595
211	1367
212	692
213	1096
214	499
215	580
216	752
217	622
218	907
219	537
220	480
221	608
222	474
223	609
224	650
225	1328
226	527
227	638
228	549
229	651
230	507
231	418
232	492
233	790
234	498
235	481
236	466
237	1044
238	532
239	633
240	569
241	693
242	783
243	514
244	671
245	473
246	548
247	966
248	913
249	604
250	496
251	717
252	523
253	519
254	450
255	542
256	700
257	516
258	499
259	541
260	487
261	472
262	421
263	694
264	504
265	533
266	582
267	455
268	8446
269	3315
270	485
271	478
272	467
273	539
274	524
275	646
276	863
277	749
278	870
279	594
280	608
281	553
282	528
283	683
284	694
285	641
286	600
287	530
288	500
289	548
290	539
291	513
292	521
293	582
294	588
295	519
296	580
297	521
298	523
299	521
300	548
301	544
302	488
303	497
304	471
305	446
306	526
307	700
308	521
309	563
310	505
311	522
312	548
313	501
314	558
315	488
316	506
317	485
318	544
319	512
320	531
321	507
322	531
323	577
324	869
325	483
326	709
327	527
328	596
329	677
330	530
331	533
332	536
333	523
334	492
335	507
336	481
337	525
338	518
339	621
340	593
341	554
342	517
343	481
344	545
345	496
346	482
347	498
348	493
349	493
350	1458
351	484
352	644
353	474
354	491
355	485
356	443
357	481
358	488
359	561
360	3262
361	1731
362	450
363	449
364	424
365	474
366	495
367	623
368	481
369	456
370	489
371	463
372	483
373	426
374	415
375	636
376	817
377	978
378	790
379	788
380	835
381	886
382	683
383	627
384	672
385	755
386	586
387	600
388	784
389	1704
390	460
391	511
392	861
393	1129
394	1177
395	571
396	1381
397	437
398	1900
399	1014
400	535
401	562
402	1364
403	629
404	2031
405	879
406	522
407	2138
408	1010
409	571
410	777
411	868
412	3490
413	695
414	521
415	1312
416	809
417	585
418	605
419	449
420	489
421	494
422	650
423	649
424	559
425	506
426	1928
427	491
428	472
429	468
430	458
431	503
432	487
433	514
434	473
435	508
436	499
437	439
438	712
439	533
440	502
441	480
442	613
443	488
444	476
445	487
446	482
447	777
448	528
449	501
450	684
451	548
452	544
453	828
454	706
455	664
456	968
457	585
458	627
459	575
460	501
461	715
462	546
463	2822
464	859
465	523
466	486
467	474
468	494
469	532
470	529
471	519
472	570
473	516
474	553
475	531
476	599
477	525
478	524
479	488
480	745
481	642
482	558
483	1998
484	520
485	486
486	514
487	1444
488	2214
489	4934
490	1149
491	518
492	463
493	1046
494	587
495	1055
496	1268
497	3742
498	3427
499	656
500	606
501	619
502	665
503	1386
504	1325
505	1468
506	1893
507	9030
508	629
509	541
510	608
511	804
512	2807
513	1379
514	557
515	531
516	592
517	869
518	1015
519	1068
520	1448
521	1178
522	4823
523	4916
524	504
525	921
526	980
527	1140
528	1390
529	5230
530	1792
531	463
532	451
533	480
534	456
535	510
536	1009
537	658
538	499
539	731
540	1893
541	630
542	877
543	645
544	763
545	586
546	2184
547	791
548	507
549	507
550	1568
551	558
552	481
553	547
554	806
555	621
556	1518
557	684
558	852
559	621
560	711
561	582
562	1799
563	1181
564	637
565	786
566	570
567	583
568	574
569	465
570	481
571	1164
572	579
573	591
574	592
575	564
576	483
577	621
578	549
579	734
580	726
581	3774
582	440
583	464
584	610
585	554
586	577
587	611
588	537
589	545
590	530
591	497
592	1063
593	922
594	522
595	536
596	591
597	520
598	491
599	607
600	669
601	912
602	680
603	456
604	496
605	957
606	831
607	469
608	3078
609	545
610	507
611	581
612	545
613	494
614	1130
615	902
616	536
617	515
618	489
619	477
620	1189
621	722
622	524
623	697
624	3173
625	784
626	569
627	538
628	523
629	546
630	556
631	636
632	540
633	453
634	500
635	1018
636	630
637	514
638	697
639	561
640	645
641	644
642	5475
643	1490
644	452
645	428
646	412
647	477
648	1122
649	440
650	596
651	469
652	497
653	482
654	456
655	440
656	875
657	2812
658	1177
659	588
660	549
661	610
662	645
663	502
664	622
665	491
666	692
667	545
668	451
669	874
670	552
671	676
672	535
673	741
674	516
675	521
676	3289
677	492
678	494
679	484
680	518
681	466
682	637
683	528
684	473
685	489
686	593
687	640
688	521
689	558
690	473
691	437
692	511
693	1589
694	775
695	551
696	962
697	584
698	789
699	924
700	2664
701	873
702	544
703	468
704	534
705	720
706	576
707	594
708	571
709	1540
710	1818
711	1159
712	867
713	1073
714	1275
715	771
716	662
717	768
718	561
719	804
720	584
721	661
722	553
723	618
724	629
725	874
726	464
727	627
728	473
729	743
730	1174
731	843
732	1092
733	488
734	480
735	673
736	771
737	534
738	2901
739	687
740	630
741	1875
742	1246
743	1371
744	587
745	947
746	913
747	579
748	726
749	616
750	525
751	565
752	476
753	582
754	535
755	845
756	625
757	506
758	716
759	490
760	457
761	559
762	498
763	650
764	574
765	490
766	516
767	514
768	543
769	518
770	518
771	496
772	919
773	675
774	536
775	650
776	505
777	581
778	541
779	471
780	459
781	466
782	814
783	435
784	485
785	416
786	468
787	434
788	471
789	482
790	491
791	483
792	481
793	497
794	481
795	519
796	444
797	505
798	711
799	947
800	788
801	565
802	553
803	600
804	515
805	554
806	525
807	619
808	558
809	519
810	555
811	710
812	643
813	495
814	435
815	457
816	506
817	498
818	512
819	448
820	499
821	517
822	755
823	664
824	473
825	463
826	584
827	747
828	706
829	622
830	525
831	567
832	604
833	761
834	497
835	433
836	528
837	923
838	485
839	473
840	477
841	491
842	500
843	446
844	498
845	516
846	464
847	546
848	543
849	517
850	596
851	438
852	484
853	795
854	1138
855	1154
856	3531
857	642
858	500
859	484
860	472
861	562
862	642
863	491
864	582
865	1319
866	548
867	460
868	477
869	611
870	577
871	1015
872	458
873	512
874	537
875	592
876	635
877	513
878	646
879	490
880	466
881	575
882	973
883	526
884	524
885	572
886	478
887	520
888	477
889	496
890	463
891	538
892	486
893	487
894	540
895	511
896	674
897	1437
898	962
899	558
900	592
901	533
902	620
903	515
904	885
905	501
906	532
907	493
908	549
909	814
910	488
911	509
912	505
913	483
914	517
915	574
916	535
917	555
918	494
919	472
920	494
921	478
922	590
923	486
924	589
925	564
926	463
927	496
928	452
929	552
930	496
931	514
932	494
933	489
934	467
935	539
936	524
937	538
938	535
939	785
940	586
941	534
942	579
943	559
944	582
945	580
946	472
947	1309
948	518
949	468
950	614
951	526
952	525
953	513
954	518
955	471
956	465
957	847
958	554
959	469
960	573
961	533
962	445
963	482
964	492
965	540
966	485
967	461
968	430
969	494
970	571
971	488
972	635
973	430
974	435
975	446
976	888
977	421
978	438
979	447
980	454
981	502
982	466
983	481
984	559
985	490
986	564
987	449
988	426
989	416
990	468
991	443
992	435
993	449
994	599
995	431
996	440
997	542
998	474
999	460
1000	516
