run	ms
1	2062
2	908
3	859
4	1122
5	963
6	852
7	1229
8	1618
9	1089
10	1900
11	1193
12	1324
13	1803
14	1176
15	968
16	1645
17	2030
18	2946
19	1014
20	1785
21	997
22	900
23	1180
24	1917
25	1632
26	3767
27	2195
28	1615
29	1858
30	1147
31	3719
32	1023
33	3618
34	4475
35	3563
36	2332
37	3108
38	9471
39	2182
40	1046
41	3501
42	1857
43	1341
44	3213
45	999
46	1818
47	1428
48	1239
49	806
50	3640
51	953
52	951
53	1164
54	1147
55	1057
56	1547
57	1167
58	1596
59	1243
60	2005
61	1742
62	1300
63	1481
64	1161
65	1109
66	791
67	854
68	1289
69	819
70	1157
71	3513
72	723
73	1642
74	843
75	834
76	854
77	922
78	1445
79	975
80	1197
81	1099
82	4073
83	813
84	1696
85	1126
86	1103
87	820
88	788
89	688
90	864
91	1126
92	991
93	2474
94	1819
95	1336
96	814
97	828
98	723
99	1030
100	1249
101	828
102	1107
103	1070
104	5287
105	1054
106	1219
107	1102
108	1003
109	1000
110	2413
111	2201
112	2357
113	1500
114	856
115	875
116	899
117	691
118	1078
119	866
120	779
121	1427
122	1199
123	1629
124	2138
125	1066
126	1031
127	1221
128	761
129	1823
130	824
131	997
132	1131
133	1061
134	1166
135	2496
136	792
137	676
138	668
139	693
140	1497
141	693
142	1243
143	1406
144	1021
145	1098
146	997
147	2273
148	1623
149	847
150	816
151	931
152	1126
153	2125
154	1090
155	990
156	1537
157	4088
158	1794
159	1816
160	1311
161	2425
162	1380
163	1651
164	1631
165	1416
166	3213
167	995
168	1043
169	1201
170	995
171	862
172	4659
173	1705
174	638
175	895
176	733
177	783
178	716
179	1005
180	1666
181	2150
182	945
183	4312
184	1177
185	3597
186	679
187	1462
188	1052
189	1439
190	1438
191	1128
192	1696
193	1200
194	786
195	1421
196	1049
197	717
198	1083
199	1063
200	847
201	865
202	693
203	862
204	1820
205	56815
206	1107
207	1170
208	952
209	720
210	781
211	696
212	822
213	879
214	915
215	904
216	809
217	1200
218	1677
219	2569
220	717
221	1533
222	1741
223	911
224	1306
225	877
226	768
227	675
228	723
229	878
230	1266
231	739
232	838
233	4850
234	8631
235	710
236	1194
237	954
238	878
239	839
240	803
241	8834
242	1074
243	795
244	898
245	780
246	745
247	913
248	663
249	649
250	884
251	791
252	844
253	784
254	653
255	709
256	697
257	741
258	1302
259	1073
260	893
261	744
262	737
263	754
264	1144
265	1281
266	1478
267	1270
268	874
269	1036
270	758
271	737
272	782
273	1023
274	1574
275	2009
276	659
277	754
278	712
279	694
280	809
281	859
282	770
283	661
284	682
285	737
286	816
287	1508
288	1229
289	1063
290	718
291	606
292	759
293	660
294	798
295	754
296	1224
297	833
298	763
299	1397
300	1382
301	1607
302	1183
303	1060
304	973
305	795
306	1005
307	833
308	744
309	1162
310	841
311	1145
312	1264
313	1151
314	687
315	945
316	701
317	739
318	675
319	1028
320	1106
321	818
322	1529
323	1006
324	1008
325	733
326	729
327	1363
328	693
329	718
330	1270
331	1049
332	632
333	849
334	722
335	639
336	827
337	1381
338	542
339	652
340	570
341	895
342	705
343	684
344	2049
345	958
346	1979
347	885
348	977
349	1047
350	1164
351	657
352	620
353	1127
354	747
355	644
356	764
357	1323
358	1272
359	969
360	1591
361	1430
362	1397
363	1323
364	1485
365	744
366	1140
367	792
368	1015
369	960
370	751
371	973
372	1132
373	1382
374	1519
375	1374
376	866
377	1063
378	5258
379	1475
380	4437
381	1664
382	843
383	829
384	2205
385	873
386	685
387	720
388	929
389	822
390	671
391	1378
392	661
393	670
394	751
395	631
396	729
397	784
398	967
399	1979
400	1517
401	681
402	643
403	712
404	668
405	665
406	652
407	635
408	670
409	690
410	678
411	712
412	663
413	720
414	1003
415	924
416	896
417	911
418	860
419	788
420	761
421	722
422	686
423	779
424	822
425	864
426	1796
427	828
428	930
429	674
430	838
431	745
432	754
433	1084
434	1026
435	818
436	674
437	1119
438	1013
439	896
440	685
441	776
442	1129
443	683
444	661
445	662
446	740
447	983
448	971
449	667
450	821
451	723
452	836
453	862
454	747
455	1174
456	1001
457	1517
458	1457
459	947
460	788
461	856
462	662
463	1118
464	1157
465	741
466	715
467	662
468	655
469	679
470	875
471	668
472	917
473	763
474	693
475	1323
476	676
477	615
478	898
479	651
480	1142
481	754
482	748
483	905
484	1465
485	965
486	1486
487	1394
488	953
489	941
490	1002
491	1103
492	891
493	913
494	732
495	883
496	708
497	963
498	721
499	945
500	693
501	695
502	645
503	634
504	678
505	684
506	684
507	672
508	647
509	614
510	644
511	703
512	794
513	1088
514	766
515	643
516	654
517	696
518	679
519	747
520	1144
521	850
522	827
523	754
524	737
525	695
526	670
527	1258
528	628
529	1302
530	1226
531	1915
532	2910
533	1071
534	667
535	684
536	642
537	803
538	705
539	634
540	638
541	706
542	737
543	1260
544	1384
545	703
546	640
547	993
548	705
549	888
550	703
551	1152
552	2033
553	846
554	1680
555	798
556	752
557	720
558	926
559	1683
560	1265
561	841
562	663
563	12098
564	1982
565	912
566	1134
567	1042
568	740
569	2114
570	2130
571	2792
572	672
573	787
574	2241
575	738
576	1686
577	2090
578	2150
579	2175
580	3710
581	2041
582	5088
583	2311
584	4514
585	2038
586	2145
587	1851
588	2610
589	937
590	1548
591	751
592	767
593	705
594	12314
595	855
596	612
597	676
598	1537
599	1005
600	1409
601	962
602	1058
603	704
604	622
605	803
606	858
607	956
608	1625
609	740
610	1819
611	1942
612	1166
613	1256
614	1577
615	992
616	922
617	720
618	1637
619	1135
620	1228
621	738
622	1742
623	1746
624	1448
625	2015
626	1397
627	1092
628	914
629	1138
630	893
631	1423
632	850
633	1327
634	1530
635	1052
636	928
637	719
638	1154
639	7202
640	914
641	888
642	2295
643	4175
644	3330
645	3320
646	632
647	1943
648	604
649	624
650	860
651	799
652	628
653	605
654	745
655	623
656	680
657	692
658	887
659	823
660	892
661	841
662	979
663	947
664	956
665	756
666	727
667	743
668	1458
669	749
670	668
671	685
672	850
673	1090
674	757
675	686
676	787
677	635
678	632
679	630
680	894
681	674
682	733
683	790
684	1005
685	764
686	721
687	773
688	747
689	715
690	936
691	743
692	885
693	671
694	731
695	742
696	746
697	659
698	865
699	764
700	862
701	702
702	1015
703	929
704	749
705	678
706	791
707	1168
708	1074
709	699
710	741
711	1071
712	846
713	671
714	722
715	648
716	651
717	702
718	710
719	832
720	983
721	917
722	929
723	972
724	629
725	824
726	734
727	678
728	659
729	689
730	746
731	669
732	713
733	745
734	686
735	845
736	796
737	938
738	943
739	845
740	782
741	767
742	848
743	793
744	705
745	951
746	1088
747	1016
748	648
749	811
750	939
751	883
752	909
753	1153
754	999
755	1010
756	837
757	663
758	895
759	840
760	1098
761	1276
762	952
763	882
764	990
765	842
766	865
767	2179
768	1471
769	6914
770	856
771	654
772	648
773	713
774	657
775	655
776	864
777	964
778	699
779	1167
780	866
781	759
782	1145
783	737
784	801
785	1101
786	605
787	631
788	856
789	890
790	1738
791	1304
792	4963
793	939
794	738
795	952
796	657
797	647
798	832
799	1238
800	888
801	691
802	646
803	745
804	779
805	750
806	1287
807	747
808	733
809	946
810	900
811	657
812	661
813	672
814	689
815	791
816	544
817	607
818	632
819	1028
820	646
821	656
822	591
823	765
824	571
825	586
826	607
827	2941
828	622
829	640
830	646
831	688
832	702
833	778
834	896
835	598
836	608
837	979
838	709
839	609
840	587
841	685
842	695
843	680
844	648
845	575
846	1904
847	1078
848	645
849	708
850	648
851	675
852	733
853	675
854	592
855	725
856	700
857	677
858	598
859	602
860	661
861	697
862	637
863	747
864	614
