run	ms
1	912
2	565
3	532
4	524
5	575
6	517
7	471
8	433
9	448
10	463
11	455
12	430
13	433
14	475
15	436
16	437
17	457
18	435
19	433
20	414
21	441
22	487
23	433
24	441
25	480
26	524
27	486
28	641
29	555
30	747
31	776
32	412
33	462
34	550
35	416
36	472
37	985
38	553
39	441
40	444
41	501
42	454
43	521
44	537
45	737
46	856
47	786
48	461
49	409
50	564
51	513
52	541
53	447
54	450
55	423
56	522
57	457
58	912
59	697
60	423
61	506
62	405
63	455
64	546
65	443
66	438
67	458
68	460
69	420
70	457
71	477
72	498
73	560
74	475
75	923
76	977
77	446
78	609
79	1198
80	750
81	468
82	460
83	532
84	746
85	602
86	480
87	437
88	464
89	426
90	410
91	410
92	416
93	420
94	429
95	423
96	463
97	420
98	402
99	920
100	426
101	416
102	376
103	409
104	393
105	406
106	506
107	761
108	471
109	1945
110	513
111	521
112	480
113	440
114	530
115	700
116	458
117	476
118	406
119	435
120	532
121	499
122	480
123	536
124	425
125	423
126	488
127	387
128	525
129	372
130	413
131	403
132	422
133	447
134	433
135	1269
136	483
137	414
138	507
139	386
140	408
141	390
142	397
143	474
144	474
145	491
146	501
147	755
148	442
149	438
150	446
151	665
152	547
153	439
154	531
155	440
156	476
157	489
158	425
159	415
160	476
161	413
162	442
163	392
164	396
165	372
166	399
167	395
168	391
169	400
170	478
171	458
172	419
173	538
174	403
175	445
176	398
177	505
178	415
179	409
180	427
181	413
182	445
183	947
184	405
185	459
186	466
187	427
188	416
189	489
190	394
191	779
192	424
193	387
194	433
195	426
196	420
197	440
198	432
199	423
200	553
201	687
202	465
203	419
204	469
205	461
206	657
207	489
208	537
209	409
210	406
211	388
212	386
213	434
214	387
215	385
216	424
217	518
218	366
219	387
220	408
221	392
222	407
223	670
224	381
225	398
226	419
227	431
228	430
229	379
230	387
231	421
232	415
233	383
234	434
235	400
236	435
237	529
238	490
239	653
240	1055
241	615
242	520
243	565
244	453
245	413
246	480
247	422
248	441
249	541
250	466
251	473
252	475
253	442
254	418
255	1545
256	452
257	457
258	434
259	427
260	463
261	428
262	637
263	389
264	444
265	420
266	450
267	411
268	448
269	436
270	409
271	443
272	403
273	397
274	415
275	385
276	392
277	396
278	406
279	426
280	420
281	376
282	485
283	377
284	410
285	374
286	396
287	537
288	415
289	403
290	396
291	472
292	636
293	531
294	397
295	419
296	426
297	470
298	456
299	456
300	478
301	414
302	448
303	394
304	419
305	389
306	463
307	410
308	506
309	427
310	383
311	435
312	469
313	428
314	403
315	395
316	401
317	394
318	442
319	404
320	401
321	398
322	369
323	378
324	370
325	385
326	405
327	366
328	381
329	357
330	388
331	393
332	370
333	390
334	414
335	376
336	375
337	365
338	419
339	394
340	392
341	401
342	416
343	413
344	425
345	394
346	423
347	380
348	400
349	397
350	401
351	378
352	392
353	375
354	411
355	619
356	470
357	444
358	483
359	442
360	490
361	535
362	546
363	447
364	384
365	414
366	470
367	391
368	425
369	467
370	429
371	401
372	507
373	430
374	494
375	967
376	598
377	599
378	596
379	594
380	575
381	494
382	521
383	551
384	484
385	444
386	459
387	416
388	557
389	461
390	430
391	455
392	431
393	431
394	413
395	511
396	472
397	391
398	542
399	621
400	415
401	457
402	511
403	443
404	429
405	1036
406	433
407	481
408	579
409	453
410	476
411	1744
412	417
413	447
414	454
415	410
416	587
417	417
418	538
419	496
420	694
421	409
422	411
423	443
424	408
425	526
426	457
427	432
428	435
429	457
430	492
431	458
432	618
433	1581
434	487
435	552
436	460
437	432
438	570
439	506
440	453
441	416
442	515
443	601
444	523
445	450
446	487
447	453
448	464
449	441
450	659
451	457
452	446
453	425
454	443
455	446
456	450
457	390
458	413
459	452
460	422
461	501
462	445
463	556
464	423
465	460
466	480
467	442
468	450
469	561
470	491
471	417
472	799
473	662
474	455
475	429
476	750
477	503
478	451
479	458
480	507
481	473
482	442
483	420
484	450
485	485
486	484
487	480
488	476
489	475
490	528
491	891
492	486
493	509
494	448
495	461
496	441
497	445
498	456
499	469
500	484
501	454
502	449
503	461
504	471
505	490
506	473
507	444
508	442
509	461
510	455
511	450
512	479
513	464
514	446
515	465
516	526
517	458
518	440
519	520
520	494
521	466
522	429
523	479
524	529
525	454
526	442
527	442
528	477
529	522
530	550
531	459
532	434
533	460
534	419
535	446
536	466
537	466
538	487
539	459
540	590
541	487
542	540
543	1318
544	463
545	437
546	493
547	452
548	471
549	539
550	465
551	444
552	466
553	441
554	446
555	435
556	479
557	469
558	429
559	448
560	420
561	430
562	453
563	402
564	425
565	452
566	463
567	431
568	509
569	529
570	559
571	463
572	559
573	939
574	446
575	504
576	440
577	426
578	551
579	452
580	428
581	387
582	597
583	935
584	473
585	499
586	481
587	511
588	578
589	472
590	529
591	519
592	461
593	500
594	469
595	488
596	525
597	434
598	482
599	501
600	409
601	479
602	800
603	532
604	573
605	501
606	536
607	475
608	510
609	602
610	527
611	697
612	672
613	663
614	604
615	597
616	473
617	477
618	543
619	494
620	476
621	473
622	609
623	494
624	456
625	457
626	482
627	515
628	555
629	519
630	497
631	504
632	460
633	720
634	506
635	511
636	632
637	459
638	471
639	444
640	631
641	636
642	643
643	469
644	512
645	414
646	1001
647	491
648	528
649	593
650	492
651	497
652	463
653	543
654	453
655	544
656	467
657	453
658	502
659	435
660	555
661	485
662	626
663	471
664	489
665	550
666	494
667	532
668	544
669	510
670	509
671	513
672	1033
673	496
674	509
675	458
676	497
677	443
678	484
679	516
680	470
681	533
682	588
683	530
684	573
685	492
686	470
687	437
688	613
689	489
690	465
691	709
692	474
693	459
694	563
695	432
696	513
697	472
698	536
699	496
700	537
701	600
702	536
703	501
704	600
705	469
706	472
707	507
708	620
709	437
710	598
711	447
712	530
713	494
714	589
715	508
716	585
717	555
718	600
719	713
720	679
721	736
722	767
723	863
724	775
725	839
726	756
727	750
728	835
729	787
730	600
731	752
732	676
733	737
734	463
735	459
736	517
737	461
738	489
739	475
740	543
741	465
742	455
743	482
744	481
745	1543
746	488
747	510
748	560
749	498
750	538
751	606
752	470
753	491
754	478
755	460
756	508
757	622
758	552
759	443
760	502
761	630
762	414
763	470
764	430
765	470
766	440
767	607
