run	ms
1	172
2	199
3	195
4	189
5	205
6	197
7	182
8	179
9	183
10	177
11	168
12	174
13	172
14	164
15	137
16	146
17	178
18	184
19	188
20	184
21	175
22	163
23	172
24	184
25	179
26	184
27	160
28	168
29	175
30	140
31	184
32	222
33	205
34	211
35	209
36	215
37	203
38	188
39	147
40	141
41	132
42	125
43	123
44	154
45	139
46	183
47	158
48	167
49	156
50	177
51	174
52	174
53	130
54	133
55	145
56	121
57	142
58	149
59	166
60	158
61	205
62	178
63	136
64	110
65	104
66	109
67	119
68	126
69	146
70	179
71	123
72	150
73	185
74	125
75	166
76	163
77	169
78	156
79	153
80	131
81	140
82	127
83	127
84	121
85	122
86	130
87	126
88	119
89	111
90	120
91	116
92	120
93	141
94	141
95	121
96	113
97	125
98	117
99	102
100	105
101	105
102	112
103	109
104	122
105	109
106	117
107	111
108	117
109	119
110	161
111	149
112	137
113	114
114	129
115	143
116	132
117	141
118	129
119	112
120	116
121	125
122	136
123	113
124	108
125	126
126	129
127	140
128	156
129	153
130	115
131	129
132	123
133	126
134	126
135	147
136	127
137	104
138	101
139	102
140	106
141	117
142	125
143	137
144	112
145	101
146	112
147	114
148	148
149	104
150	143
151	113
152	115
153	107
154	105
155	95
156	102
157	103
158	104
159	100
160	96
161	95
162	95
163	102
164	101
165	104
166	108
167	109
168	110
169	112
170	95
171	107
172	106
173	108
174	113
175	117
176	123
177	116
178	134
179	122
180	115
181	114
182	126
183	127
184	130
185	112
186	123
187	115
188	111
189	121
190	111
191	118
192	105
193	103
194	108
195	104
196	146
197	124
198	100
199	104
200	120
201	101
202	111
203	104
204	103
205	107
206	99
207	104
208	99
209	102
210	107
211	104
212	100
213	106
214	105
215	101
216	104
217	93
218	91
219	102
220	91
221	100
222	108
223	100
224	100
225	101
226	96
227	96
228	99
229	91
230	95
231	97
232	98
233	95
234	98
235	101
236	92
237	97
238	104
239	100
240	99
241	94
242	96
243	96
244	104
245	89
246	91
247	109
248	96
249	96
250	110
251	109
252	99
253	96
254	113
255	99
256	95
257	100
258	103
259	100
260	98
261	98
262	100
263	98
264	95
265	94
266	96
267	91
268	93
269	90
270	101
271	98
272	119
273	109
274	87
275	97
276	103
277	98
278	104
279	99
280	93
281	107
282	109
283	98
284	107
285	115
286	94
287	101
288	97
289	88
290	92
291	99
292	108
293	101
294	109
295	112
296	111
297	96
298	101
299	93
300	86
301	93
302	97
303	95
304	95
305	90
306	111
307	93
308	92
309	92
310	102
311	106
312	101
313	99
314	112
315	105
316	141
317	117
318	106
319	99
320	97
321	107
322	112
323	105
324	135
325	133
326	121
327	111
328	123
329	141
330	120
331	112
332	128
333	119
334	96
335	103
336	100
337	107
338	96
339	94
340	112
341	96
342	93
343	96
344	113
345	116
346	123
347	125
348	122
349	103
350	101
351	104
352	110
353	97
354	97
355	94
356	98
357	95
358	99
359	99
360	104
361	99
362	87
363	95
364	102
365	97
366	93
367	93
368	92
369	86
370	112
371	100
372	102
373	90
374	90
375	94
376	98
377	100
378	93
379	90
380	92
381	92
382	99
383	108
384	95
385	93
386	90
387	88
388	100
389	100
390	100
391	96
392	84
393	90
394	95
395	97
396	100
397	102
398	101
399	109
400	93
401	89
402	96
403	99
