run	ms
1	933
2	907
3	814
4	707
5	680
6	866
7	835
8	832
9	681
10	907
11	1216
12	1146
13	763
14	761
15	653
16	511
17	622
18	1145
19	1174
20	1795
21	1443
22	1100
23	887
24	725
25	726
26	760
27	947
28	903
29	595
30	718
31	535
32	583
33	474
34	546
35	523
36	592
37	439
38	445
39	418
40	382
41	493
42	485
43	470
44	408
45	464
46	466
47	500
48	348
49	1417
50	485
51	424
52	556
53	497
54	579
55	515
56	452
57	599
58	424
59	654
60	977
61	724
62	554
63	904
64	1018
65	1393
66	673
67	577
68	621
69	983
70	735
71	669
72	503
73	594
74	647
75	630
76	623
77	466
78	491
79	544
80	898
81	523
82	633
83	530
84	454
85	414
86	529
87	609
88	734
89	466
90	481
91	378
92	380
93	649
94	565
95	490
96	420
97	456
98	394
99	374
100	570
101	440
102	493
103	521
104	529
105	549
106	485
107	471
108	441
109	395
110	420
111	503
112	447
113	537
114	578
115	553
116	896
117	1441
118	1190
119	1232
120	1272
121	1686
122	1128
123	811
124	1128
125	814
126	890
127	756
128	766
129	660
130	602
131	760
132	690
133	527
134	653
135	610
136	491
137	527
138	760
139	1131
140	860
141	837
142	1184
143	896
144	1000
145	1182
146	1237
147	533
148	743
149	1377
150	642
151	1133
152	519
153	855
154	1057
155	841
156	1814
157	1702
158	445
159	538
160	1339
161	1036
162	880
163	539
164	586
165	1382
166	855
167	414
168	562
169	786
170	426
171	723
172	1478
173	538
174	858
175	899
176	725
177	1152
178	713
179	862
180	593
181	952
182	596
183	1597
184	1768
185	1100
186	886
187	848
188	844
189	591
190	609
191	727
192	478
193	861
194	477
195	409
196	926
197	390
198	519
199	557
200	383
201	395
202	574
203	782
204	637
205	607
206	751
207	387
208	604
209	494
210	529
211	370
212	623
213	797
214	414
215	356
216	380
217	413
218	432
219	996
220	1284
221	508
222	874
223	427
224	630
225	556
226	862
227	757
228	688
229	718
230	879
231	450
232	600
233	904
234	899
235	592
236	453
237	529
238	633
239	559
240	490
241	612
242	572
243	632
244	440
245	478
246	767
247	1896
248	1392
249	749
250	547
251	724
252	508
253	527
254	676
255	761
256	608
257	1042
258	1016
259	1233
260	452
261	593
262	815
263	725
264	447
265	682
266	701
267	437
268	494
269	497
270	555
271	564
272	406
273	1507
274	1474
275	1164
276	903
277	650
278	658
279	617
280	547
281	563
282	888
283	841
284	406
285	505
286	517
287	435
288	437
289	452
290	710
291	788
292	387
293	459
294	427
295	355
296	392
297	359
298	373
299	396
300	379
301	344
302	398
303	372
304	500
305	397
306	406
307	377
308	355
309	362
310	429
311	553
312	443
313	397
314	343
315	378
316	560
317	627
318	513
319	1131
320	405
321	414
322	423
323	470
324	415
325	472
326	523
327	461
328	490
329	458
330	360
331	368
332	421
333	426
334	405
335	370
336	473
337	580
338	412
339	370
340	419
341	397
342	364
343	428
344	378
345	371
346	440
347	347
348	375
349	402
350	414
351	731
352	985
353	540
354	963
355	391
356	359
357	374
358	355
359	363
360	356
361	351
362	325
363	357
364	309
365	343
366	319
367	384
368	373
369	392
370	371
371	639
372	645
373	607
374	567
375	987
376	431
377	1511
378	526
379	602
380	474
381	386
382	401
383	377
384	427
385	455
386	673
387	668
388	432
389	449
390	2292
391	2952
392	2458
393	2778
394	8548
395	1060
396	1004
397	575
398	537
399	438
400	477
401	548
402	646
