run	ms
1	288
2	225
3	170
4	140
5	147
6	126
7	132
8	133
9	126
10	131
11	125
12	128
13	139
14	136
15	132
16	134
17	115
18	125
19	128
20	106
21	108
22	131
23	101
24	106
25	117
26	128
27	121
28	119
29	126
30	136
31	119
32	114
33	102
34	99
35	111
36	100
37	110
38	118
39	125
40	111
41	112
42	97
43	127
44	90
45	103
46	103
47	107
48	126
49	112
50	112
51	119
52	99
53	97
54	99
55	116
56	103
57	101
58	97
59	103
60	101
61	85
62	97
63	98
64	96
65	84
66	91
67	98
68	111
69	103
70	99
71	92
72	92
73	102
74	97
75	94
76	96
77	97
78	96
79	97
80	99
81	106
82	102
83	114
84	97
85	91
86	106
87	108
88	91
89	98
90	97
91	100
92	99
93	98
94	94
95	94
96	98
97	96
98	114
99	99
100	91
101	92
102	96
103	89
104	94
105	90
106	90
107	98
108	93
109	93
110	94
111	94
112	98
113	100
114	90
115	100
116	106
117	104
118	93
119	99
120	103
121	96
122	84
123	96
124	87
125	99
126	102
127	100
128	121
129	88
130	89
131	90
132	92
133	103
134	90
135	96
136	98
137	92
138	95
139	94
140	94
141	97
142	95
143	93
144	88
145	88
146	105
147	98
148	92
149	89
150	91
151	99
152	98
153	98
154	88
155	94
156	92
157	95
158	96
159	96
160	91
161	87
162	93
163	106
164	106
165	88
166	94
167	96
168	92
169	100
170	93
171	92
172	89
173	91
174	222
175	93
176	90
177	93
178	96
179	96
180	93
181	96
182	88
183	88
184	94
185	92
186	98
187	98
188	93
189	88
190	91
191	95
192	107
193	90
194	98
195	95
196	96
197	92
198	102
199	95
200	93
201	90
202	90
203	94
204	96
205	99
206	90
207	106
208	101
209	84
210	87
211	92
212	90
213	94
214	93
215	86
216	94
217	121
218	91
219	95
220	94
221	88
222	91
223	93
224	91
225	94
226	88
227	91
228	89
229	101
230	94
231	90
232	92
233	95
234	90
235	94
236	91
237	94
238	94
239	95
240	94
241	101
242	115
243	152
244	233
245	99
246	99
247	102
248	96
249	95
250	94
251	96
252	93
253	104
254	100
255	94
256	98
257	92
258	103
259	102
260	99
261	89
262	98
263	100
264	101
265	89
266	94
267	93
268	96
269	90
270	86
271	99
272	97
273	95
274	95
275	98
276	100
277	101
278	93
279	97
280	94
281	87
282	97
283	102
284	93
285	92
286	91
287	87
288	92
289	93
290	96
291	93
292	96
293	90
294	98
295	97
296	97
297	92
298	98
299	95
300	96
301	99
302	90
303	94
304	99
305	93
306	104
307	94
308	92
309	92
310	93
311	93
312	92
313	87
314	93
315	99
316	106
317	115
318	100
319	99
320	99
321	86
322	88
323	92
324	89
325	91
326	100
327	94
328	86
329	89
330	89
331	97
332	84
333	92
334	92
335	91
336	82
337	91
338	97
339	86
340	91
341	83
342	88
343	90
344	89
345	92
346	92
347	97
348	93
349	85
350	97
351	92
352	80
353	88
354	93
355	91
356	90
357	90
358	88
359	94
360	81
361	91
362	92
363	92
364	85
365	94
366	88
367	94
368	87
369	88
370	88
371	93
372	92
373	94
374	90
375	92
376	95
377	95
378	92
379	87
380	99
381	90
382	84
383	94
384	95
385	94
386	90
387	88
388	88
389	92
390	93
391	90
392	92
393	87
394	87
395	88
396	85
397	90
398	87
399	86
400	87
401	86
402	85
403	85
404	88
405	90
406	91
407	91
408	93
409	88
410	88
411	95
412	89
413	96
414	94
415	102
416	92
417	90
418	86
419	90
420	86
421	96
422	88
423	90
424	88
425	93
426	93
427	89
428	89
429	84
430	89
431	90
432	91
433	91
434	90
435	84
436	84
437	91
438	91
439	94
440	84
441	86
442	89
443	87
444	90
445	94
446	91
447	90
448	93
449	93
450	91
451	93
452	92
453	91
454	84
455	92
456	91
457	92
458	93
459	90
460	93
461	94
462	94
463	89
464	92
465	87
466	90
467	93
468	90
469	87
470	85
471	94
472	88
473	100
474	92
475	93
476	91
477	87
478	87
479	88
480	90
481	88
482	89
483	90
484	93
485	87
486	90
487	92
488	91
489	95
490	88
491	92
492	91
493	104
494	99
495	94
496	92
497	89
498	94
499	94
500	95
501	92
502	94
503	95
504	93
505	95
506	97
507	92
508	96
509	89
510	91
511	97
512	96
513	94
514	93
515	95
516	97
517	94
518	96
519	101
520	93
521	93
522	93
523	86
524	91
525	91
526	91
527	91
528	103
529	88
530	93
531	92
532	91
533	92
534	89
535	96
536	94
537	88
538	88
539	90
540	92
541	90
542	86
543	96
544	95
545	90
546	89
547	96
548	90
549	85
550	95
551	93
552	92
553	98
554	91
555	87
556	94
557	98
558	87
559	86
560	91
