run	ms
1	1007
2	537
3	427
4	444
5	480
6	365
7	390
8	374
9	854
10	375
11	426
12	335
13	316
14	341
15	342
16	361
17	344
18	340
19	319
20	351
21	318
22	329
23	294
24	339
25	387
26	320
27	326
28	387
29	353
30	362
31	369
32	375
33	375
34	340
35	411
36	361
37	389
38	344
39	393
40	344
41	356
42	333
43	345
44	340
45	324
46	329
47	331
48	401
49	328
50	337
51	343
52	376
53	341
54	331
55	485
56	536
57	418
58	362
59	382
60	314
61	353
62	341
63	315
64	332
65	323
66	401
67	342
68	307
69	359
70	433
71	356
72	305
73	313
74	496
75	312
76	321
77	298
78	312
79	301
80	307
81	400
82	403
83	390
84	303
85	308
86	332
87	319
88	541
89	469
90	372
91	332
92	303
93	331
94	341
95	314
96	338
97	329
98	331
99	369
100	313
101	669
102	699
103	335
104	291
105	315
106	291
107	295
108	319
109	303
110	390
111	350
112	328
113	431
114	339
115	311
116	296
117	338
118	346
119	339
120	352
121	377
122	322
123	301
124	314
125	359
126	350
127	337
128	382
129	307
130	346
131	296
132	300
133	505
134	313
135	316
136	321
137	350
138	1358
139	416
140	335
141	317
142	407
143	299
144	329
145	288
146	331
147	362
148	319
149	325
150	313
151	314
152	298
153	346
154	485
155	304
156	289
157	309
158	310
159	351
160	302
161	311
162	297
163	302
164	318
165	529
166	326
167	418
168	332
169	346
170	304
171	312
172	305
173	312
174	295
175	309
176	306
177	328
178	314
179	321
180	313
181	324
182	530
183	359
184	378
185	294
186	329
187	353
188	289
189	367
190	412
191	398
192	312
193	312
194	312
195	289
196	319
197	332
198	405
199	385
200	482
201	459
202	358
203	362
204	350
205	364
206	376
207	464
208	317
209	319
210	348
211	316
212	333
213	422
214	344
215	418
216	412
217	416
218	342
219	308
220	332
221	306
222	292
223	301
224	303
225	335
226	290
227	313
228	296
229	387
230	317
231	341
232	425
233	364
234	305
235	326
236	323
237	314
238	310
239	332
240	358
241	349
242	314
243	312
244	402
245	364
246	307
247	392
248	530
249	344
250	316
251	492
252	501
253	485
254	1316
255	332
256	376
257	311
258	308
259	352
260	328
261	304
262	362
263	628
264	581
265	344
266	952
267	477
268	309
269	348
270	317
271	378
272	427
273	443
274	338
275	356
276	456
277	440
278	425
279	364
280	339
281	384
282	469
283	341
284	314
285	1020
286	334
287	334
288	330
289	321
290	305
291	303
292	337
293	312
294	315
295	338
296	319
297	310
298	320
299	312
300	315
301	311
302	375
303	330
304	334
305	369
306	595
307	349
308	333
309	330
310	401
311	331
312	326
313	351
314	378
315	339
316	347
317	357
318	315
319	354
320	370
321	347
322	378
323	327
324	318
325	399
326	437
327	472
328	314
329	329
330	336
331	343
332	529
333	344
334	315
335	388
336	363
337	289
338	295
339	347
340	304
341	325
342	322
343	318
344	307
345	309
346	312
347	349
348	416
349	299
350	310
351	298
352	320
353	339
354	330
355	316
356	299
357	349
358	367
359	372
360	349
361	367
362	385
363	411
364	505
365	368
366	403
367	326
368	322
369	398
370	375
371	392
372	425
373	383
374	330
375	487
376	474
377	453
378	465
379	333
380	323
381	304
382	359
383	386
384	355
385	341
386	420
387	332
388	331
389	407
390	323
391	350
392	346
393	414
394	340
395	327
396	327
397	334
398	399
399	348
400	310
401	338
402	352
403	311
404	529
405	343
406	378
407	319
408	328
409	377
410	322
411	316
412	360
413	385
414	357
415	321
416	323
417	354
418	316
419	351
420	346
421	367
422	441
423	499
424	507
425	342
426	311
427	342
428	309
429	327
430	308
431	316
432	389
433	427
434	316
435	295
436	299
437	298
438	325
439	311
440	307
441	318
442	312
443	324
444	351
445	318
446	307
447	318
448	314
449	380
450	390
451	402
452	360
453	345
454	308
455	316
456	313
457	309
458	334
459	473
460	1687
461	286
462	312
463	364
464	323
465	354
466	336
467	520
468	294
469	335
470	366
471	305
472	312
473	365
474	340
475	316
476	306
477	332
478	367
479	344
480	326
481	335
482	326
483	320
484	320
485	320
486	329
487	321
488	294
489	294
490	298
491	292
492	323
493	329
494	341
495	323
496	539
497	398
498	498
499	303
500	315
501	316
502	601
503	315
504	368
505	322
506	293
507	320
508	328
509	308
510	301
511	309
512	299
513	304
514	299
515	292
516	390
517	564
518	514
519	406
520	316
521	308
522	336
523	310
524	336
525	310
526	324
527	361
528	371
529	448
530	367
531	394
532	356
533	307
534	306
535	377
536	294
537	338
538	309
539	322
540	284
541	330
542	398
543	498
544	305
545	304
546	388
547	361
548	332
549	366
550	471
551	326
552	301
553	294
554	333
555	381
556	377
557	487
558	342
559	329
560	313
561	338
562	335
563	328
564	374
565	323
566	363
567	344
568	1196
569	315
570	318
571	361
572	344
573	327
574	295
575	355
576	328
577	319
578	320
579	336
580	309
581	339
582	389
583	450
584	362
585	337
586	297
587	314
588	290
589	310
590	350
591	496
592	357
593	439
594	437
595	297
596	300
597	348
598	389
599	339
600	294
601	339
602	292
603	328
604	307
605	322
606	308
607	317
608	342
609	347
610	331
611	358
612	511
613	407
614	404
615	448
616	404
617	307
618	325
619	304
620	465
621	500
622	426
623	561
624	471
625	388
626	302
627	397
628	377
629	469
630	349
631	348
632	385
633	324
634	391
635	414
636	312
637	380
638	376
639	393
640	289
641	291
642	324
643	296
644	327
645	479
646	331
647	476
648	373
649	394
650	308
651	356
652	522
653	502
654	347
655	327
656	329
657	326
658	296
659	329
660	724
661	708
662	297
663	294
664	278
665	338
666	328
667	338
668	318
669	377
670	423
671	425
672	452
673	410
674	323
675	306
676	315
677	403
678	377
679	290
680	318
681	299
682	312
683	309
684	321
685	295
686	322
687	326
688	305
689	303
690	312
691	372
692	470
693	624
694	382
695	348
696	338
697	325
698	332
699	319
700	391
701	372
702	398
703	369
704	322
705	349
706	307
707	318
708	309
709	338
710	317
711	374
712	326
713	340
714	332
715	294
716	376
717	383
718	296
719	402
720	321
721	335
722	330
723	315
724	338
725	307
726	331
727	310
728	357
729	329
730	515
731	371
732	319
733	318
734	405
735	418
736	321
737	305
738	389
739	295
740	298
741	310
742	306
743	350
744	382
745	528
746	326
747	366
748	314
749	496
750	479
751	346
752	311
753	320
754	436
755	454
756	449
757	366
758	370
759	340
760	329
761	392
762	323
763	308
764	410
765	374
766	313
767	335
768	344
769	806
770	340
771	338
772	597
773	325
774	307
775	374
776	325
777	306
778	350
779	317
780	395
781	342
782	307
783	337
784	369
785	341
786	312
787	328
788	334
789	312
790	307
791	322
792	462
793	553
794	317
795	318
796	308
797	325
798	419
799	350
800	315
801	313
802	350
803	383
804	334
805	326
806	311
807	424
808	356
809	336
810	357
811	345
812	370
813	465
814	398
815	350
816	315
817	291
818	359
819	358
820	328
821	346
822	358
823	382
824	308
825	309
826	312
827	335
828	295
829	305
830	404
831	337
832	413
833	494
834	341
835	345
836	362
837	355
838	306
839	356
840	382
841	399
842	391
843	362
844	285
845	295
846	319
847	310
848	311
849	336
850	333
851	307
852	312
853	303
854	348
855	475
856	340
857	367
858	745
859	404
860	355
861	352
862	371
863	331
864	336
865	419
866	305
867	315
868	323
869	538
870	422
871	380
872	325
873	308
874	326
875	300
876	317
877	311
878	293
879	421
880	350
881	356
882	334
883	303
884	299
885	306
886	303
887	327
888	324
889	437
890	338
891	322
892	374
893	405
894	327
895	410
896	389
897	307
898	321
899	341
900	306
901	317
902	317
903	305
904	353
905	351
906	366
907	326
908	300
909	518
910	516
911	441
912	329
913	336
914	305
915	340
916	410
917	378
918	321
919	315
920	317
921	293
922	355
923	301
924	319
925	481
926	323
927	320
928	300
929	309
930	414
931	380
932	313
933	340
934	312
935	329
936	326
937	316
938	310
939	304
940	303
941	320
942	340
943	574
944	407
945	385
946	418
947	336
948	328
949	337
950	335
951	300
952	1789
953	324
954	300
955	334
956	736
957	299
958	316
959	307
960	294
961	337
962	299
963	289
964	293
965	314
966	345
967	332
968	319
969	320
970	303
971	310
972	291
973	303
974	306
975	354
976	335
977	295
978	311
979	315
980	309
981	317
982	330
983	386
984	310
985	338
986	328
987	299
988	504
989	284
990	493
991	312
992	331
993	340
994	321
995	302
996	306
997	367
998	309
999	442
1000	510
