run	ms
1	240
2	223
3	279
4	324
5	159
6	168
7	168
8	183
9	177
10	164
11	161
12	169
13	179
14	165
15	185
16	159
17	152
18	156
19	177
20	147
21	153
22	162
23	161
24	142
25	142
26	154
27	156
28	146
29	161
30	165
31	151
32	152
33	142
34	155
35	149
36	133
37	145
38	143
39	158
40	155
41	148
42	145
43	139
44	145
45	139
46	147
47	170
48	163
49	169
50	164
51	168
52	142
53	147
54	132
55	149
56	209
57	147
58	142
59	165
60	146
61	136
62	144
63	138
64	138
65	146
66	136
67	139
68	154
69	139
70	148
71	142
72	131
73	141
74	134
75	147
76	164
77	136
78	133
79	138
80	143
81	154
82	142
83	147
84	128
85	147
86	153
87	147
88	141
89	137
90	137
91	132
92	133
93	127
94	136
95	129
96	132
97	137
98	131
99	144
100	132
101	124
102	140
103	130
104	126
105	127
106	121
107	152
108	130
109	132
110	130
111	164
112	158
113	147
114	135
115	130
116	138
117	138
118	122
119	130
120	139
121	126
122	452
123	232
124	132
125	141
126	151
127	214
128	152
129	151
130	141
131	129
132	127
133	135
134	139
135	134
136	143
137	117
138	132
139	136
140	137
141	158
142	132
143	139
144	137
145	131
146	153
147	152
148	152
149	133
150	127
151	134
152	128
153	122
154	129
155	125
156	130
157	136
158	127
159	158
160	130
161	122
162	125
163	144
164	147
165	204
166	390
167	159
168	138
169	133
170	143
171	129
172	143
173	126
174	123
175	139
176	131
177	150
178	134
179	121
180	121
181	124
182	136
183	134
184	138
185	138
186	140
187	145
188	125
189	123
190	118
191	126
192	146
193	144
194	140
195	209
196	141
197	147
198	150
199	257
200	172
201	160
202	140
203	127
204	142
205	147
206	143
207	176
208	139
209	139
210	126
211	130
212	129
213	131
214	151
215	135
216	252
217	154
218	133
219	132
220	144
221	139
222	137
223	136
224	133
225	131
226	133
227	142
228	135
229	134
230	133
231	129
232	134
233	164
234	123
235	135
236	130
237	135
238	135
239	143
240	128
241	147
242	134
243	133
244	130
245	127
246	157
247	476
248	163
249	133
250	130
251	134
252	131
253	130
254	132
255	132
256	135
257	134
258	130
259	136
260	135
261	123
262	136
263	141
264	134
265	132
266	126
267	118
268	121
269	128
270	176
271	188
272	127
273	147
274	137
275	140
276	137
277	143
278	151
279	320
280	251
281	300
282	386
283	170
284	138
285	149
286	137
287	156
288	136
289	144
290	130
291	130
292	141
293	143
294	137
295	148
296	140
297	145
298	152
299	143
300	135
301	132
302	132
303	176
304	129
305	138
306	135
307	132
308	138
309	126
310	122
311	125
312	126
313	144
314	133
315	127
316	135
317	140
318	132
319	146
320	137
321	130
322	140
323	132
324	139
325	149
326	164
327	153
328	133
329	132
330	136
331	134
332	133
333	132
334	128
335	150
336	134
337	126
338	132
339	142
340	211
341	131
342	136
343	129
344	133
345	135
346	124
347	131
348	139
349	129
350	144
351	141
352	155
353	155
354	116
355	130
356	126
357	124
358	129
359	149
360	130
361	129
362	132
363	136
364	137
365	150
366	124
367	128
368	125
369	125
370	122
371	126
372	129
373	117
374	122
375	115
376	139
377	134
378	129
379	116
380	114
381	129
382	135
383	170
384	127
385	134
386	141
387	130
388	126
389	135
390	133
391	126
392	118
393	123
394	136
395	329
396	221
397	130
398	132
399	232
400	149
401	129
402	130
403	134
404	128
405	134
406	131
407	132
408	133
409	130
410	129
411	142
412	141
413	127
414	143
415	188
416	131
417	138
418	133
419	133
420	146
421	132
422	129
423	124
424	131
425	126
426	124
427	124
428	124
429	126
430	132
431	119
432	146
433	149
434	214
435	277
436	224
437	130
438	131
439	138
440	131
441	127
442	135
443	136
444	140
445	130
446	131
447	139
448	138
