run	ms
1	392
2	300
3	280
4	248
5	205
6	234
7	217
8	228
9	188
10	181
11	206
12	197
13	192
14	193
15	479
16	198
17	326
18	199
19	216
20	177
21	292
22	205
23	158
24	170
25	148
26	155
27	213
28	265
29	154
30	182
31	190
32	158
33	149
34	146
35	135
36	178
37	160
38	113
39	125
40	160
41	149
42	158
43	205
44	158
45	155
46	170
47	138
48	132
49	140
50	168
51	178
52	143
53	157
54	158
55	153
56	170
57	140
58	184
59	187
60	249
61	130
62	136
63	144
64	160
65	123
66	114
67	106
68	167
69	123
70	185
71	202
72	137
73	122
74	139
75	141
76	143
77	151
78	111
79	112
80	145
81	151
82	124
83	121
84	137
85	190
86	206
87	125
88	184
89	136
90	172
91	134
92	128
93	127
94	128
95	121
96	139
97	115
98	134
99	115
100	119
101	169
102	142
103	183
104	138
105	124
106	125
107	140
108	136
109	123
110	117
111	143
112	112
113	120
114	121
115	128
116	140
117	158
118	122
119	107
120	142
121	115
122	109
123	120
124	141
125	109
126	323
127	135
128	122
129	123
130	104
131	121
132	132
133	164
134	136
135	195
136	139
137	115
138	115
139	121
140	105
141	109
142	116
143	110
144	125
145	345
146	213
147	161
148	122
149	113
150	109
151	131
152	112
153	109
154	154
155	204
156	107
157	106
158	146
159	119
160	123
161	119
162	160
163	125
164	149
165	105
166	132
167	113
168	132
169	125
170	118
171	117
172	137
173	108
174	120
175	127
176	114
177	122
178	104
179	125
180	112
181	122
182	109
183	115
184	130
185	113
186	113
187	108
188	122
189	102
190	109
191	109
192	128
193	132
194	115
195	122
196	129
197	119
198	154
199	196
200	186
201	134
202	180
203	120
204	116
205	143
206	124
207	125
208	101
209	104
210	112
211	112
212	103
213	138
214	118
215	145
216	190
217	194
218	134
219	140
220	142
221	124
222	185
223	154
224	139
225	130
226	111
227	123
228	128
229	139
230	116
231	130
232	136
233	118
234	133
235	173
236	126
237	118
238	127
239	117
240	132
241	117
242	127
243	136
244	145
245	150
246	123
247	125
248	154
249	119
250	163
251	124
252	146
253	135
254	151
255	141
256	136
257	113
258	121
259	121
260	136
261	119
262	114
263	125
264	146
265	174
266	143
267	106
268	124
269	171
270	139
271	135
272	120
273	115
274	127
275	135
276	125
277	116
278	119
279	109
280	134
281	118
282	118
283	131
284	156
285	179
286	186
287	122
288	118
289	134
290	112
291	209
292	135
293	124
294	108
295	113
296	135
297	120
298	134
299	131
300	117
301	158
302	115
303	115
304	128
305	104
306	123
307	121
308	112
309	110
310	148
311	116
312	108
313	105
314	107
315	116
316	139
317	135
318	116
319	111
320	112
321	140
322	130
323	133
324	134
325	109
326	116
327	113
328	135
329	123
330	138
331	131
332	147
333	131
334	131
335	129
336	131
337	115
338	104
339	106
340	109
341	142
342	139
343	111
344	107
345	108
346	101
347	126
348	127
349	104
350	108
351	115
352	105
353	159
354	148
355	105
356	110
357	110
358	102
359	103
360	97
361	117
362	123
363	214
364	194
365	107
366	114
367	128
368	100
369	117
370	112
371	144
372	168
373	116
374	101
375	111
376	110
377	103
378	100
379	105
380	91
381	93
382	119
383	106
384	110
385	114
386	111
387	107
388	107
389	118
390	98
391	115
392	97
393	109
394	99
395	127
396	113
397	110
398	111
399	104
400	119
401	110
402	130
403	129
404	138
405	143
406	135
407	166
408	139
409	146
410	169
411	173
412	135
413	145
414	163
415	123
416	141
417	144
418	159
419	160
420	167
421	131
422	120
423	119
424	128
425	108
426	130
427	137
428	116
429	103
430	145
431	253
432	195
433	128
434	118
435	113
436	111
437	116
438	99
439	104
440	126
441	116
442	99
443	109
444	102
445	102
446	119
447	121
448	118
449	105
450	101
451	101
452	141
453	113
454	126
455	101
456	120
457	119
458	124
459	106
460	99
461	102
462	102
463	105
464	104
465	120
466	109
467	106
468	122
469	105
470	99
471	102
472	107
473	128
474	112
475	118
476	112
477	113
478	104
479	107
480	104
481	106
482	123
483	120
484	112
485	102
486	134
487	132
488	99
489	111
490	110
491	121
492	114
493	151
494	116
495	117
496	103
497	105
