run	ms
1	247
2	189
3	212
4	165
5	175
6	109
7	134
8	135
9	116
10	92
11	132
12	179
13	98
14	103
15	121
16	72
17	86
18	97
19	110
20	95
21	79
22	68
23	110
24	112
25	62
26	97
27	100
28	92
29	81
30	94
31	113
32	73
33	62
34	80
35	112
36	60
37	69
38	80
39	70
40	94
41	66
42	81
43	81
44	77
45	69
46	85
47	87
48	83
49	68
50	74
51	88
52	101
53	74
54	67
55	84
56	160
57	139
58	144
59	100
60	66
61	65
62	108
63	64
64	127
65	106
66	72
67	125
68	60
69	58
70	141
71	67
72	62
73	55
74	64
75	60
76	69
77	70
78	67
79	59
80	121
81	80
82	73
83	64
84	65
85	58
86	65
87	64
88	62
89	61
90	61
91	111
92	67
93	64
94	86
95	66
96	108
97	96
98	66
99	65
100	78
101	58
102	432
103	63
104	65
105	66
106	66
107	77
108	97
109	59
110	63
111	61
112	70
113	84
114	66
115	76
116	58
117	65
118	75
119	59
120	67
121	55
122	55
123	135
124	97
125	62
126	58
127	59
128	83
129	68
130	53
131	54
132	57
133	75
134	59
135	58
136	69
137	66
138	61
139	65
140	66
141	51
142	54
143	70
144	60
145	63
146	51
147	58
148	55
149	58
150	60
151	52
152	56
153	61
154	52
155	60
156	77
157	67
158	68
159	108
160	74
161	58
162	64
163	58
164	62
165	54
166	51
167	49
168	57
169	57
170	57
171	65
172	58
173	60
174	75
175	67
176	57
177	57
178	62
179	57
180	63
181	58
182	67
183	79
184	62
185	64
186	54
187	51
188	54
189	48
190	56
191	54
192	71
193	75
194	56
195	53
196	62
197	64
198	52
199	64
200	65
201	53
202	57
203	52
204	49
205	79
206	69
207	64
208	69
209	55
210	59
211	48
212	49
213	50
214	47
215	54
216	66
217	71
218	62
219	69
220	63
221	65
222	136
223	50
224	56
225	49
226	51
227	60
228	57
229	62
230	59
231	44
232	45
233	53
234	68
235	46
236	139
237	53
238	64
239	53
240	51
241	60
242	61
243	67
244	59
245	67
246	70
247	85
248	72
249	68
250	60
251	61
252	55
253	57
254	59
255	60
256	72
257	61
258	57
259	64
260	53
261	52
262	59
263	60
264	55
265	54
266	56
267	54
268	88
269	91
270	61
271	58
272	55
273	60
274	52
275	51
276	52
277	47
278	49
279	51
280	58
281	51
282	51
283	46
284	73
285	63
286	50
287	53
288	45
289	51
290	60
291	57
292	54
293	53
294	59
295	49
296	49
297	51
298	58
299	54
300	48
301	56
302	55
303	64
304	63
305	66
306	58
307	62
308	68
309	62
310	59
311	56
312	60
313	52
314	51
315	101
316	83
317	95
318	73
319	73
320	61
321	56
322	58
323	57
324	55
325	48
326	59
327	55
328	60
329	53
330	54
331	48
332	47
333	52
334	53
335	72
336	57
337	54
338	51
339	59
340	52
341	47
342	48
343	51
344	68
345	58
346	50
347	48
348	49
349	58
350	137
351	66
352	65
353	65
354	50
355	53
356	46
357	49
358	47
359	56
360	73
361	57
362	53
363	50
364	52
365	56
366	55
367	52
368	87
369	52
370	49
371	79
372	49
373	49
374	54
375	52
376	49
377	50
378	45
379	57
380	54
381	55
382	58
383	57
384	70
385	65
386	70
387	61
388	73
389	70
390	52
391	53
392	54
393	50
394	51
395	56
396	48
397	46
398	48
399	46
400	49
401	49
402	45
403	47
404	44
405	47
406	48
407	48
408	60
409	60
410	52
411	44
412	52
413	54
414	49
415	46
416	45
417	47
418	46
419	47
420	47
421	47
422	47
423	44
424	45
425	50
426	47
427	47
428	52
429	49
430	52
431	52
432	51
433	49
434	51
435	58
436	50
437	52
438	46
439	51
440	49
441	47
442	45
443	46
444	48
445	50
446	50
447	44
448	55
449	60
450	53
451	49
452	47
453	48
454	46
455	47
456	46
457	50
458	44
459	51
460	52
461	62
462	56
463	59
464	49
465	48
466	49
467	55
468	49
469	46
470	44
471	49
472	46
473	65
474	60
475	55
476	53
477	53
478	51
479	63
480	49
481	59
482	54
483	55
484	57
485	53
486	50
487	63
488	52
489	51
490	62
491	77
492	59
493	53
494	51
495	47
496	53
497	50
498	47
499	53
500	85
501	85
502	52
503	48
504	49
505	51
506	46
507	54
508	46
509	46
510	46
511	56
512	47
513	47
514	43
515	48
516	43
517	45
518	53
519	48
520	51
521	97
522	60
523	55
524	49
525	52
526	54
527	70
528	63
529	51
530	49
531	51
532	49
533	65
534	66
535	62
536	55
537	46
538	48
539	48
540	56
541	52
542	54
543	50
544	55
545	56
546	47
547	53
548	55
549	66
550	53
551	48
552	55
553	61
554	46
555	55
556	55
557	51
558	44
559	44
560	47
561	45
562	44
563	46
564	50
565	49
566	64
567	50
568	49
569	52
570	53
571	58
572	51
573	46
574	62
575	52
576	60
577	50
578	46
579	52
580	46
581	62
582	67
583	52
584	65
585	68
586	49
587	48
588	48
589	50
590	56
591	47
592	50
593	52
594	54
595	48
596	56
597	50
598	58
599	45
600	47
601	59
602	52
603	51
604	73
605	54
606	51
607	57
608	56
609	58
610	52
611	48
612	51
613	51
614	49
615	51
616	54
617	49
618	48
619	44
620	45
621	51
622	72
623	65
624	63
625	57
626	53
627	54
628	58
629	48
630	60
631	56
632	59
633	49
634	51
635	58
636	51
637	46
638	46
639	45
640	55
641	53
642	74
643	64
644	48
645	51
646	47
647	49
648	53
649	51
650	58
651	53
652	46
653	45
654	46
655	45
656	48
657	47
658	47
659	45
660	47
661	53
662	49
663	51
664	51
665	63
666	66
667	61
668	75
669	54
670	60
671	61
672	63
673	64
674	54
675	59
676	117
677	56
678	66
679	50
680	49
681	47
682	59
683	65
684	56
685	59
686	65
687	67
688	53
689	55
690	45
691	45
692	43
693	47
694	46
695	113
696	57
697	53
698	49
699	48
700	57
701	62
702	47
703	51
704	54
705	58
706	48
707	52
708	49
709	48
710	55
711	58
712	62
713	52
714	56
715	60
716	52
717	59
718	52
719	56
720	64
721	54
722	56
723	58
724	64
725	53
726	67
727	49
728	53
729	58
730	60
731	66
732	62
733	61
734	73
735	54
736	49
737	49
738	46
739	47
740	53
741	63
742	63
743	59
744	67
745	62
746	53
747	60
748	60
749	58
750	58
751	71
752	64
753	59
754	50
755	48
756	49
757	44
758	48
759	55
760	54
761	47
762	53
763	49
764	51
765	49
766	50
767	46
768	59
769	58
770	85
771	133
772	49
773	47
774	50
775	53
776	51
777	53
778	49
779	48
780	47
781	45
782	50
783	47
784	52
785	50
786	55
787	56
788	57
789	52
790	52
791	80
792	50
793	48
794	51
795	50
796	49
797	43
798	48
799	49
800	53
801	54
802	48
803	46
804	45
805	49
806	54
807	62
808	50
809	48
810	55
811	50
812	49
813	73
814	49
815	52
816	57
817	53
818	51
819	46
820	48
821	46
822	44
823	51
824	51
825	53
826	48
827	44
828	55
829	52
830	50
831	51
832	50
833	49
834	50
835	59
836	52
837	56
838	54
839	51
840	55
841	57
842	53
843	57
844	52
845	55
846	60
847	50
848	49
849	48
850	46
851	45
852	46
853	49
854	52
855	52
856	45
857	50
858	56
859	49
860	45
861	43
862	47
863	45
864	49
865	47
866	50
867	51
868	51
869	46
870	46
871	59
872	52
873	50
874	49
875	44
876	50
877	51
878	51
879	47
880	56
881	50
882	57
883	50
884	51
885	47
886	62
887	60
888	55
889	75
890	53
891	52
892	64
893	50
894	49
895	47
896	58
897	46
898	50
899	51
900	49
901	48
902	49
903	47
904	50
905	51
906	49
907	51
908	52
909	48
910	53
911	50
912	48
913	55
914	51
915	67
916	65
917	55
918	47
919	49
920	50
921	50
922	49
923	47
924	53
925	45
926	49
927	46
928	43
929	46
930	44
931	44
932	45
933	54
934	122
935	50
936	50
937	55
938	52
939	52
940	48
941	55
942	56
