run	ms
1	341
2	311
3	279
4	209
5	204
6	148
7	219
8	171
9	180
10	179
11	185
12	179
13	195
14	168
15	167
16	156
17	158
18	156
19	125
20	167
21	197
22	141
23	181
24	196
25	126
26	149
27	119
28	136
29	143
30	132
31	129
32	108
33	128
34	147
35	152
36	160
37	163
38	138
39	132
40	157
41	230
42	120
43	134
44	201
45	160
46	183
47	138
48	144
49	120
50	134
51	156
52	142
53	126
54	144
55	162
56	214
57	115
58	127
59	224
60	119
61	136
62	108
63	112
64	126
65	107
66	106
67	127
68	175
69	169
70	114
71	100
72	120
73	126
74	121
75	125
76	128
77	115
78	121
79	117
80	149
81	132
82	139
83	129
84	108
85	116
86	125
87	155
88	104
89	103
90	118
91	127
92	117
93	113
94	108
95	110
96	160
97	128
98	145
99	127
100	141
101	137
102	135
103	114
104	116
105	126
106	126
107	125
108	131
109	122
110	139
111	124
112	109
113	125
114	108
115	148
116	160
117	162
118	112
119	117
120	154
121	199
122	127
123	121
124	125
125	117
126	114
127	135
128	214
129	171
130	122
131	121
132	113
133	111
134	121
135	120
136	131
137	129
138	150
139	171
140	139
141	164
142	148
143	144
144	155
145	159
146	136
147	155
148	125
149	112
150	119
151	130
152	147
153	123
154	136
155	119
156	114
157	123
158	119
159	137
160	126
161	138
162	138
163	138
164	119
165	108
166	152
167	127
168	130
169	121
170	114
171	116
172	130
173	128
174	116
175	116
176	114
177	104
178	127
179	108
180	116
181	152
182	143
183	129
184	134
185	120
186	117
187	119
188	118
189	160
190	120
191	109
192	108
193	103
194	114
195	125
196	117
197	110
198	125
199	136
200	147
201	111
202	116
203	105
204	116
205	143
206	128
207	125
208	102
209	115
210	112
211	105
212	122
213	121
214	133
215	127
216	122
217	117
218	133
219	110
220	118
221	126
222	110
223	116
224	130
225	115
226	112
227	109
228	116
229	124
230	112
231	112
232	106
233	114
234	121
235	102
236	116
237	106
238	106
239	114
240	112
241	136
242	148
243	126
244	116
245	109
246	123
247	146
248	128
249	103
250	118
251	112
252	111
253	127
254	112
255	106
256	121
257	123
258	107
259	118
260	105
261	169
262	140
263	182
264	151
265	118
266	120
267	148
268	124
269	112
270	128
271	124
272	162
273	123
274	118
