run	ms
1	185
2	119
3	83
4	95
5	81
6	88
7	67
8	86
9	68
10	74
11	63
12	62
13	63
14	64
15	76
16	69
17	60
18	73
19	64
20	67
21	56
22	63
23	57
24	63
25	64
26	63
27	53
28	59
29	115
30	58
31	64
32	57
33	60
34	58
35	65
36	54
37	57
38	51
39	71
40	55
41	50
42	61
43	59
44	66
45	84
46	63
47	55
48	57
49	62
50	51
51	50
52	61
53	66
54	52
55	60
56	60
57	55
58	52
59	56
60	57
61	57
62	49
63	49
64	75
65	54
66	45
67	51
68	47
69	50
70	46
71	56
72	49
73	51
74	49
75	56
76	54
77	59
78	64
79	54
80	63
81	51
82	53
83	54
84	52
85	65
86	47
87	50
88	49
89	43
90	56
91	45
92	47
93	52
94	60
95	81
96	64
97	66
98	50
99	86
100	87
101	108
102	53
103	54
104	49
105	58
106	67
107	51
108	55
109	56
110	53
111	51
112	48
113	53
114	52
115	47
116	48
117	51
118	50
119	61
120	74
121	53
122	52
123	50
124	47
125	53
126	51
127	66
128	63
129	69
130	68
131	58
132	62
133	56
134	51
135	46
136	48
137	51
138	65
139	83
140	61
141	50
142	49
143	51
144	68
145	46
146	46
147	46
148	52
149	51
150	55
151	44
152	49
153	44
154	53
155	46
156	50
157	46
158	56
159	51
160	51
161	52
162	51
163	53
164	48
165	54
166	51
167	65
168	53
169	53
170	50
171	51
172	48
173	49
174	48
175	48
176	53
177	55
178	57
179	50
180	47
181	56
182	51
183	51
184	44
185	43
186	47
187	53
188	56
189	43
190	49
191	48
192	49
193	48
194	61
195	54
196	51
197	45
198	54
199	52
200	55
201	45
202	47
203	45
204	46
205	62
206	45
207	46
208	56
209	46
210	49
211	53
212	49
213	42
214	45
215	122
216	59
217	56
218	49
219	54
220	55
221	49
222	48
223	53
224	63
225	51
226	52
227	46
228	51
229	50
230	43
231	48
232	56
233	44
234	56
235	83
236	99
237	55
238	47
239	54
240	56
241	49
242	46
243	48
244	50
245	49
246	46
247	45
248	47
249	46
250	49
251	51
252	59
253	65
254	48
255	67
256	60
257	47
258	52
259	81
260	45
261	44
262	48
263	44
264	44
265	49
266	47
267	47
268	56
269	59
270	54
271	61
272	52
273	50
274	51
275	51
276	54
277	48
278	52
279	48
280	46
281	55
282	47
283	51
284	50
285	49
286	50
287	46
288	47
289	45
290	48
291	43
292	46
293	45
294	45
295	46
296	53
297	45
298	46
299	45
300	44
301	50
302	46
303	44
304	51
305	43
306	44
307	42
308	41
309	43
310	41
311	53
312	45
313	41
314	40
315	41
316	50
317	58
318	46
319	50
320	47
321	44
322	43
323	47
324	45
325	43
326	51
327	43
328	41
329	48
330	42
331	43
332	46
333	47
334	45
335	55
336	55
337	46
338	41
339	41
340	43
341	46
342	43
343	45
344	56
345	44
346	50
347	50
348	51
349	47
350	44
351	47
352	55
353	47
354	52
355	48
356	51
357	48
358	45
359	44
360	44
361	42
362	44
363	53
364	45
365	44
366	50
367	49
368	45
369	45
370	52
371	46
372	48
373	51
374	44
375	44
376	42
377	51
378	45
379	46
380	46
381	42
382	46
383	46
384	58
385	50
386	45
387	52
388	86
389	60
390	42
391	41
392	42
393	47
394	43
395	45
396	44
397	41
398	47
399	42
400	42
401	43
402	42
403	44
404	41
405	42
406	46
407	41
408	43
409	48
410	48
411	50
412	53
413	56
414	44
415	40
416	72
417	73
418	72
419	63
420	47
421	43
422	41
423	43
424	44
425	47
426	43
427	44
428	41
429	41
430	42
431	43
432	45
433	48
434	52
435	56
436	43
437	42
438	44
439	51
440	40
441	50
442	62
443	50
444	44
445	42
446	46
447	46
448	50
449	46
450	53
451	46
452	51
453	50
454	48
455	46
456	47
457	44
458	41
459	46
460	44
461	39
462	42
463	42
464	43
465	52
466	46
467	41
468	44
469	45
470	44
471	42
472	42
473	47
474	48
475	46
476	54
477	55
478	51
479	49
480	61
481	50
482	49
483	58
484	52
485	50
486	49
487	59
488	46
489	44
490	47
491	50
492	48
493	48
494	48
495	46
496	44
497	53
498	42
499	50
500	47
501	47
502	46
503	38
504	49
505	40
506	41
507	41
508	44
509	45
510	43
511	46
512	41
513	37
514	41
515	43
516	42
517	40
518	39
519	39
520	39
521	41
522	49
523	46
524	45
525	43
526	48
527	54
528	43
529	44
530	41
531	45
532	42
533	42
534	46
535	42
536	43
537	41
538	45
539	60
540	59
541	41
542	40
543	44
544	44
545	46
546	42
547	39
548	44
549	56
550	46
551	44
552	44
553	54
554	46
555	42
556	43
557	46
558	48
559	44
560	43
561	42
562	44
563	50
564	44
565	42
566	44
567	45
568	42
569	42
570	43
571	52
572	46
573	41
574	54
575	45
576	48
577	49
578	45
579	44
580	43
581	46
582	51
583	43
584	47
585	47
586	45
587	40
588	41
589	43
590	38
591	45
592	44
593	43
594	63
595	42
596	45
597	48
598	54
599	37
600	44
601	39
602	185
603	68
604	40
605	41
606	60
607	50
608	44
609	39
610	43
611	52
612	57
613	46
614	49
615	51
616	49
617	50
618	46
619	46
620	46
621	45
622	79
623	48
624	47
625	55
626	46
627	47
628	50
629	46
630	44
631	41
632	45
633	44
634	47
635	44
636	45
637	39
638	44
639	42
640	45
641	49
642	53
643	60
644	44
645	46
646	50
647	46
648	47
649	43
650	43
651	38
652	40
653	40
654	37
655	41
656	41
657	37
658	37
659	41
660	39
661	36
662	40
663	42
664	40
665	52
666	56
667	49
668	48
669	44
670	50
671	45
672	45
673	51
674	44
675	47
676	45
677	43
678	40
679	39
680	37
681	39
682	38
683	70
684	44
685	38
686	39
687	41
688	43
689	51
690	42
691	40
692	41
693	48
694	43
695	47
696	54
697	52
698	50
699	50
700	51
701	41
702	51
703	46
704	50
705	45
706	50
707	46
708	48
709	46
710	45
711	47
712	51
713	49
714	40
715	45
716	46
717	42
718	44
719	46
720	44
721	47
722	54
723	44
724	51
725	48
726	46
727	44
728	45
729	43
730	44
731	41
732	44
733	44
734	47
735	46
736	45
737	53
738	42
739	42
740	38
741	40
742	47
743	41
744	42
745	39
746	42
747	41
748	44
749	45
750	49
751	51
752	40
753	40
754	43
755	47
756	43
757	46
758	42
759	44
